,word,year,proportion,zipf_test,moment
260,fat cat,1928,5.54027373643023e-07,1.6058337130364349,0.5377561641620795
192,hallucinogen,1954,2.927107506786042e-06,1.9524357669037395,0.544781713689859
188,fermi,1955,1.1819235358631336e-06,4.662346223571233,0.545151013108445
331,killer whale,1884,5.35559794521589e-07,1.061981696508696,0.5461852038783551
34,sudoku,2000,9.60312872888796e-07,3.1022134882583683,0.5598319636201065
60,smackdown,1997,3.970524378290215e-07,1.3438817474544842,0.5601402602175073
174,spaz,1965,5.355591021879824e-07,3.5788810849345603,0.5603794640391073
363,pinto,1860,5.909617679315668e-07,6.014194516868514,0.5721272520111157
399,windbreak,1846,4.986239916922595e-07,1.9164286514581448,0.5721537848160724
108,home page,1992,6.001963214466083e-07,2.14612404238066,0.5743790046141313
18,unfriend,2003,1.745183970922908e-06,1.980501270962738,0.5743848472280076
314,voyeur,1900,5.263253245640514e-07,3.571925786062123,0.5745776534131358
14,podcast,2004,1.5115693970374606e-05,10.575999944895935,0.5772979212089885
262,standout,1928,3.878186602050907e-07,3.749067797358949,0.5783528149923934
201,pyramid scheme,1949,2.400785285786433e-06,2.3449296637117416,0.5857769858775239
379,boogeyman,1850,8.495075414016274e-07,1.8024628788745891,0.5950143544058906
181,fender bender,1962,4.801570571572869e-07,1.4891526171376108,0.603304093259188
243,axel,1930,6.278968784272895e-07,8.162265282128725,0.6071038614873916
371,butterscotch,1855,7.848710980341121e-07,2.004733525730306,0.6197720726761001
237,reprogram,1937,5.263253245640514e-07,1.2134106592227796,0.6207683511056465
407,reefer,1800,1.1172870924956185e-06,5.773792853883086,0.6338704020336455
393,student teacher,1847,1.080353378603895e-06,1.873699957073964,0.6343913951890242
254,station wagon,1929,8.125734813431004e-07,2.159621658432649,0.6433539225948833
347,stella,1879,1.2188586463588563e-06,113.2010747771345,0.6466109604491866
103,click through,1993,6.463652692501936e-07,1.4868508993176532,0.6470507698744979
410,kohl,1799,6.83299544170874e-07,2.557320958277536,0.6536771015474908
336,junkyard,1880,9.78780428136658e-07,2.0861572148852434,0.6621502602796797
223,tow truck,1944,1.6805497000505032e-06,2.4845854855431155,0.6790805349793416
46,snark,1999,6.371306560512204e-07,3.273669512421482,0.6801242710613886
222,thrift shop,1944,1.098820957725329e-06,1.8658004389144645,0.7235114759815403
